bid,ask
4053.1,4053.8
4053.1,4053.8
4048.8,4051.3
4048.8,4051.3
4048.8,4051.3
4048.8,4051.3
4048.8,4051.3
4048.8,4051.3
4051.5,4051.6
4051.5,4051.6
4051.5,4051.6
4054.6,4056.8
4051.5,4051.6
4054.6,4056.8
4054.6,4056.8
4054.6,4056.8
4050.7,4050.8
4050.7,4050.8
4050.7,4050.8
4050.7,4050.8
4050.7,4050.8
4051.0,4051.1
4051.0,4051.1
4051.0,4051.1
4051.0,4051.1
4051.0,4051.1
4051.0,4051.1
4050.8,4051.0
4050.8,4051.0
4050.8,4051.0
4050.8,4051.0
4051.0,4051.1
4051.0,4051.1
4051.0,4051.1
4051.0,4051.1
